,opp_0,opp_1,opp_2,opp_3,opp_4,opp_5,opp_6,opp_7,opp_8,opp_9,opp_10
my_0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
my_1,7.0,3.0,1.7086771800249156,1.0700978658286657,0.6888858415679064,0.4353546144922078,0.25442956111966764,0.11873654146322798,0.01313108300843635,-0.07144556066603747,-0.1407445610957485
my_2,6.0,3.2913228199750844,2.0,1.2436063934983554,0.7463770812984372,0.3943240851864567,0.13177499999174946,-0.07169207643175612,-0.23410725071503302,-0.36683587177014987,-0.4773980329320018
my_3,5.0,2.929902134171334,1.7563936065016446,1.0,0.4714461991553365,0.08095512039371577,-0.21954073130385332,-0.45810274144897534,-0.6522148381756785,-0.8133389756455478,-0.9493028858158818
my_4,4.0,2.311114158432094,1.253622918701562,0.528553800844664,0.0,-0.40271770570566856,-0.7199933422341043,-0.9765891491652137,-1.188531411006287,-1.366651640345951,-1.5185342889762135
my_5,3.0,1.5646453855077924,0.6056759148135429,-0.08095512039371666,-0.5972822942943319,-1.0,-1.3231314667108562,-1.588333027480434,-1.8100463764619934,-1.9982729527523366,-2.1601593714059817
my_6,2.0,0.7455704388803328,-0.13177499999174902,-0.7804592686961458,-1.2800066577658953,-1.6768685332891442,-2.0,-2.268390525225901,-2.4950130596180506,-2.689032967885612,-2.857110211183244
my_7,1.0,-0.1187365414632282,-0.9283079235682443,-1.5418972585510238,-2.023410850834786,-2.4116669725195674,-2.731609474774099,-3.0,-3.2285200623712114,-3.4255611292630253,-3.5973074840057717
my_8,0.0,-1.0131310830084361,-1.7658927492849665,-2.347785161824322,-2.811468588993713,-3.189953623538006,-3.50498694038195,-3.771479937628788,-4.0,-4.198246021772003,-4.371960635097115
my_9,-1.0,-1.9285544393339622,-2.6331641282298506,-3.1866610243544526,-3.6333483596540495,-4.001727047247663,-4.310967032114388,-4.574438870736974,-4.801753978227997,-5.0,-5.174518924321655
my_10,-2.0,-2.8592554389042517,-3.522601967067999,-4.050697114184118,-4.4814657110237865,-4.839840628594017,-5.142889788816756,-5.402692515994228,-5.628039364902886,-5.825481075678346,-6.0
