,opp_0,opp_1,opp_2,opp_3,opp_4,opp_5,opp_6,opp_7,opp_8,opp_9,opp_10
my_0,4.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
my_1,7.0,3.0,1.619447014927644,0.9191903420848697,0.49523054767340446,0.2105491880620982,0.005829171368531005,-0.14879360113658935,-0.2700008097071026,-0.36785209661197626,-0.44878553905959284
my_2,6.0,3.380552985072355,2.0,1.1465054169162179,0.5658255407058963,0.14451092772561447,-0.17571550460953378,-0.4278756852229795,-0.6320949607033131,-0.8013550878825424,-0.9444257967017311
my_3,5.0,3.0808096579151307,1.8534945830837808,1.0,0.3712157668146099,-0.11206454372156394,-0.49582669884644526,-0.8086172398658542,-1.0691142006269438,-1.2900752341749835,-1.4805388215100679
my_4,4.0,2.5047694523265953,1.4341744592941037,0.6287842331853906,0.0,-0.5053663570105975,-0.9211944338979428,-1.270108338643634,-1.5678155553077344,-1.8255898924608895,-2.0517663789282405
my_5,3.0,1.7894508119379013,0.855489072274386,0.11206454372156482,-0.4946336429894025,-1.0,-1.428289719717358,-1.796703226586596,-2.1178028834094214,-2.40100846018117,-2.65356042089139
my_6,2.0,0.9941708286314688,0.175715504609534,-0.5041733011535543,-1.0788055661020577,-1.571710280282642,-2.0,-2.3764415896529973,-2.7107807674875324,-3.0106193354934336,-3.2820161769095453
my_7,1.0,0.1487936011365889,-0.5721243147770201,-1.1913827601341458,-1.7298916613563655,-2.2032967734134044,-2.6235584103470018,-3.0,-3.340025410923182,-3.6496241495111534,-3.9337387271643918
my_8,0.0,-0.7299991902928973,-1.3679050392966872,-1.9308857993730557,-2.4321844446922656,-2.8821971165905786,-3.289219232512468,-3.6599745890768176,-4.0,-4.3139327512810315,-4.60573313994756
my_9,-1.0,-1.6321479033880237,-2.198644912117458,-2.709924765825016,-3.174410107539111,-3.5989915398188304,-3.989380664506567,-4.350375850488846,-4.6860672487189685,-5.0,-5.295310139918833
my_10,-2.0,-2.5512144609404075,-3.055574203298268,-3.519461178489932,-3.9482336210717595,-4.34643957910861,-4.717983823090456,-5.066261272835608,-5.39426686005244,-5.704689860081166,-6.0
