t,price_mean,efficiency,mean_util,mean_truth_dev
1,73.41816486798433,1.0,12.93789734630588,0.0
2,69.10183010287732,0.79,15.628383401756935,0.0
3,63.68985422697841,0.848,20.923309978121615,0.0
4,63.668641296135306,0.68,18.84055666444749,0.0
5,65.89038730027745,0.862,19.045872324745126,0.0
