t,price_mean,efficiency,mean_util,mean_truth_dev,n_players,T,value_low,value_high,B0,refill,bid_step,value_step,budget_step,budget_cap,n_mc,seed,value_mode,value_points
1,73.16066666666667,0.9846666666666667,13.599333333333334,0.0,2,5,60.0,100.0,120.0,30.0,1.0,1.0,1.0,,3000,42,discrete,
2,69.12433333333334,0.8073333333333333,15.637666666666666,0.0,2,5,60.0,100.0,120.0,30.0,1.0,1.0,1.0,,3000,42,discrete,
3,63.28333333333333,0.826,21.358,0.0,2,5,60.0,100.0,120.0,30.0,1.0,1.0,1.0,,3000,42,discrete,
4,63.804,0.6633333333333333,19.438333333333333,0.0,2,5,60.0,100.0,120.0,30.0,1.0,1.0,1.0,,3000,42,discrete,
5,66.234,0.8536666666666667,19.2,0.0,2,5,60.0,100.0,120.0,30.0,1.0,1.0,1.0,,3000,42,discrete,
