participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.max_private_value,session.config.name,session.config.min_private_value,session.config.round_time,session.config.players_per_group,session.config.real_world_currency_per_point,session.config.budget_boost,session.config.initial_budget,AuctionEbay.1.player.id_in_group,AuctionEbay.1.player.role,AuctionEbay.1.player.payoff,AuctionEbay.1.player.private_value,AuctionEbay.1.player.preliminary_payoff,AuctionEbay.1.player.second_stage_bid,AuctionEbay.1.player.second_stage_bid_amount,AuctionEbay.1.player.starting_budget,AuctionEbay.1.group.id_in_subsession,AuctionEbay.1.group.first_price,AuctionEbay.1.group.second_price,AuctionEbay.1.group.auctionstartdate,AuctionEbay.1.group.curwinner,AuctionEbay.1.subsession.round_number,AuctionEbay.2.player.id_in_group,AuctionEbay.2.player.role,AuctionEbay.2.player.payoff,AuctionEbay.2.player.private_value,AuctionEbay.2.player.preliminary_payoff,AuctionEbay.2.player.second_stage_bid,AuctionEbay.2.player.second_stage_bid_amount,AuctionEbay.2.player.starting_budget,AuctionEbay.2.group.id_in_subsession,AuctionEbay.2.group.first_price,AuctionEbay.2.group.second_price,AuctionEbay.2.group.auctionstartdate,AuctionEbay.2.group.curwinner,AuctionEbay.2.subsession.round_number,AuctionEbay.3.player.id_in_group,AuctionEbay.3.player.role,AuctionEbay.3.player.payoff,AuctionEbay.3.player.private_value,AuctionEbay.3.player.preliminary_payoff,AuctionEbay.3.player.second_stage_bid,AuctionEbay.3.player.second_stage_bid_amount,AuctionEbay.3.player.starting_budget,AuctionEbay.3.group.id_in_subsession,AuctionEbay.3.group.first_price,AuctionEbay.3.group.second_price,AuctionEbay.3.group.auctionstartdate,AuctionEbay.3.group.curwinner,AuctionEbay.3.subsession.round_number,AuctionEbay.4.player.id_in_group,AuctionEbay.4.player.role,AuctionEbay.4.player.payoff,AuctionEbay.4.player.private_value,AuctionEbay.4.player.preliminary_payoff,AuctionEbay.4.player.second_stage_bid,AuctionEbay.4.player.second_stage_bid_amount,AuctionEbay.4.player.starting_budget,AuctionEbay.4.group.id_in_subsession,AuctionEbay.4.group.first_price,AuctionEbay.4.group.second_price,AuctionEbay.4.group.auctionstartdate,AuctionEbay.4.group.curwinner,AuctionEbay.4.subsession.round_number,AuctionEbay.5.player.id_in_group,AuctionEbay.5.player.role,AuctionEbay.5.player.payoff,AuctionEbay.5.player.private_value,AuctionEbay.5.player.preliminary_payoff,AuctionEbay.5.player.second_stage_bid,AuctionEbay.5.player.second_stage_bid_amount,AuctionEbay.5.player.starting_budget,AuctionEbay.5.group.id_in_subsession,AuctionEbay.5.group.first_price,AuctionEbay.5.group.second_price,AuctionEbay.5.group.auctionstartdate,AuctionEbay.5.group.curwinner,AuctionEbay.5.subsession.round_number
1,mexls7uq,,0,41,40,AuctionEbay,ResultsSummary,2025-09-11 03:16:33.557557,1,,,63.0,av1mylsu,,,,,0,0.0,100,auction_ebay_standalone,60,30,2,1.0,50,120,1,,38.0,78,38,0,,120,1,78,40,1757560643.0828567,1,1,1,,0.0,85,0,1,85,120,1,94,85,1757560712.8766239,2,2,1,,0.0,99,0,0,,120,1,110,99,1757560763.9851367,2,3,1,,25.0,91,25,0,,120,1,91,66,1757560812.2948406,1,4,1,,0.0,70,0,0,,120,1,80,70,1757560868.0503938,2,5
2,9jb7pf9d,,0,41,40,AuctionEbay,ResultsSummary,2025-09-11 03:16:47.056597,1,,,-17.0,av1mylsu,,,,,0,0.0,100,auction_ebay_standalone,60,30,2,1.0,50,120,2,,0.0,85,0,1,40,120,1,78,40,1757560643.0828567,1,1,2,,-12.0,73,-12,0,,120,1,94,85,1757560712.8766239,2,2,2,,-2.0,97,-2,1,110,120,1,110,99,1757560763.9851367,2,3,2,,0.0,60,0,0,,120,1,91,66,1757560812.2948406,1,4,2,,-3.0,67,-3,0,,120,1,80,70,1757560868.0503938,2,5
